state,year,level,metric,value,unit,pdf_file,pdf_page,printed_label,note
Uttar Pradesh,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_schools_with_ict_lab,2.5,percent,UDISE_2021-2022.pdf,185,"Percentage of Government Schools with Upper Primary, Secondary and Higher Secondary sections having: ICT labs",Table x.9 col (8)
Uttar Pradesh,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_schools_with_functional_ict_lab,1.5,percent,UDISE_2021-2022.pdf,185,"Percentage of Government Schools with Upper Primary, Secondary and Higher Secondary sections having: Functional ICT Labs",Table x.9 col (9)
Uttar Pradesh,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_aided_schools_with_ict_lab,16.1,percent,UDISE_2021-2022.pdf,185,"Percentage of Government Aided Schools with Upper Primary, Secondary and Higher Secondary sections having: ICT labs",Table x.9 col (10)
Uttar Pradesh,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_aided_schools_with_functional_ict_lab,7.8,percent,UDISE_2021-2022.pdf,185,"Percentage of Government Aided Schools with Upper Primary, Secondary and Higher Secondary sections having: Functional ICT Labs",Table x.9 col (11)
Uttarakhand,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_schools_total,4982,count,UDISE_2021-2022.pdf,185,"Number of Government Schools with Upper Primary, Secondary and Higher Secondary sections having: Total",Table x.9 col (2)
Uttarakhand,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_schools_with_ict_lab,621,count,UDISE_2021-2022.pdf,185,"Number of Government Schools with Upper Primary, Secondary and Higher Secondary sections having: ICT labs",Table x.9 col (3)
Uttarakhand,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_schools_with_functional_ict_lab,549,count,UDISE_2021-2022.pdf,185,"Number of Government Schools with Upper Primary, Secondary and Higher Secondary sections having: Functional ICT Labs",Table x.9 col (4)
Uttarakhand,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_aided_schools_total,599,count,UDISE_2021-2022.pdf,185,"Number of Government Aided Schools with Upper Primary, Secondary and Higher Secondary sections having: Total",Table x.9 col (5)
Uttarakhand,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_aided_schools_with_ict_lab,58,count,UDISE_2021-2022.pdf,185,"Number of Government Aided Schools with Upper Primary, Secondary and Higher Secondary sections having: ICT labs",Table x.9 col (6)
Uttarakhand,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_aided_schools_with_functional_ict_lab,40,count,UDISE_2021-2022.pdf,185,"Number of Government Aided Schools with Upper Primary, Secondary and Higher Secondary sections having: Functional ICT Labs",Table x.9 col (7)
Uttarakhand,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_schools_with_ict_lab,12.5,percent,UDISE_2021-2022.pdf,185,"Percentage of Government Schools with Upper Primary, Secondary and Higher Secondary sections having: ICT labs",Table x.9 col (8)
Uttarakhand,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_schools_with_functional_ict_lab,11.0,percent,UDISE_2021-2022.pdf,185,"Percentage of Government Schools with Upper Primary, Secondary and Higher Secondary sections having: Functional ICT Labs",Table x.9 col (9)
Uttarakhand,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_aided_schools_with_ict_lab,9.7,percent,UDISE_2021-2022.pdf,185,"Percentage of Government Aided Schools with Upper Primary, Secondary and Higher Secondary sections having: ICT labs",Table x.9 col (10)
Uttarakhand,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_aided_schools_with_functional_ict_lab,6.7,percent,UDISE_2021-2022.pdf,185,"Percentage of Government Aided Schools with Upper Primary, Secondary and Higher Secondary sections having: Functional ICT Labs",Table x.9 col (11)
West Bengal,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_schools_total,16278,count,UDISE_2021-2022.pdf,185,"Number of Government Schools with Upper Primary, Secondary and Higher Secondary sections having: Total",Table x.9 col (2)
West Bengal,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_schools_with_ict_lab,7602,count,UDISE_2021-2022.pdf,185,"Number of Government Schools with Upper Primary, Secondary and Higher Secondary sections having: ICT labs",Table x.9 col (3)
West Bengal,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_schools_with_functional_ict_lab,7145,count,UDISE_2021-2022.pdf,185,"Number of Government Schools with Upper Primary, Secondary and Higher Secondary sections having: Functional ICT Labs",Table x.9 col (4)
West Bengal,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_aided_schools_total,44,count,UDISE_2021-2022.pdf,185,"Number of Government Aided Schools with Upper Primary, Secondary and Higher Secondary sections having: Total",Table x.9 col (5)
West Bengal,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_aided_schools_with_ict_lab,2,count,UDISE_2021-2022.pdf,185,"Number of Government Aided Schools with Upper Primary, Secondary and Higher Secondary sections having: ICT labs",Table x.9 col (6)
West Bengal,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_aided_schools_with_functional_ict_lab,2,count,UDISE_2021-2022.pdf,185,"Number of Government Aided Schools with Upper Primary, Secondary and Higher Secondary sections having: Functional ICT Labs",Table x.9 col (7)
West Bengal,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_schools_with_ict_lab,46.7,percent,UDISE_2021-2022.pdf,185,"Percentage of Government Schools with Upper Primary, Secondary and Higher Secondary sections having: ICT labs",Table x.9 col (8)
West Bengal,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_schools_with_functional_ict_lab,43.9,percent,UDISE_2021-2022.pdf,185,"Percentage of Government Schools with Upper Primary, Secondary and Higher Secondary sections having: Functional ICT Labs",Table x.9 col (9)
West Bengal,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_aided_schools_with_ict_lab,4.6,percent,UDISE_2021-2022.pdf,185,"Percentage of Government Aided Schools with Upper Primary, Secondary and Higher Secondary sections having: ICT labs",Table x.9 col (10)
West Bengal,2021-22,"Upper Primary, Secondary and Higher Secondary",govt_aided_schools_with_functional_ict_lab,4.6,percent,UDISE_2021-2022.pdf,185,"Percentage of Government Aided Schools with Upper Primary, Secondary and Higher Secondary sections having: Functional ICT Labs",Table x.9 col (11)
India,2022-23,All,schools_with_electricity,1344828,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
India,2022-23,All,schools_with_functional_electricity,1312345,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Andaman & Nicobar Islands,2022-23,All,schools_with_electricity,383,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Andaman & Nicobar Islands,2022-23,All,schools_with_functional_electricity,378,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Andhra Pradesh,2022-23,All,schools_with_electricity,61509,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Andhra Pradesh,2022-23,All,schools_with_functional_electricity,61463,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Arunachal Pradesh,2022-23,All,schools_with_electricity,2426,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Arunachal Pradesh,2022-23,All,schools_with_functional_electricity,1980,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Assam,2022-23,All,schools_with_electricity,50268,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Assam,2022-23,All,schools_with_functional_electricity,49796,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Bihar,2022-23,All,schools_with_electricity,76731,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Bihar,2022-23,All,schools_with_functional_electricity,75083,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Chandigarh,2022-23,All,schools_with_electricity,230,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Chandigarh,2022-23,All,schools_with_functional_electricity,230,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Chhattisgarh,2022-23,All,schools_with_electricity,53878,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Chhattisgarh,2022-23,All,schools_with_functional_electricity,51727,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Dadra & Nagar Haveli and Daman & Diu,2022-23,All,schools_with_electricity,459,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Dadra & Nagar Haveli and Daman & Diu,2022-23,All,schools_with_functional_electricity,459,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Delhi,2022-23,All,schools_with_electricity,5488,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Delhi,2022-23,All,schools_with_functional_electricity,5488,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Goa,2022-23,All,schools_with_electricity,1504,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Goa,2022-23,All,schools_with_functional_electricity,1504,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Gujarat,2022-23,All,schools_with_electricity,53570,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Gujarat,2022-23,All,schools_with_functional_electricity,53564,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Haryana,2022-23,All,schools_with_electricity,23389,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Haryana,2022-23,All,schools_with_functional_electricity,23174,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Himachal Pradesh,2022-23,All,schools_with_electricity,17758,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Himachal Pradesh,2022-23,All,schools_with_functional_electricity,17588,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Jammu & Kashmir,2022-23,All,schools_with_electricity,22301,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Jammu & Kashmir,2022-23,All,schools_with_functional_electricity,21231,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Jharkhand,2022-23,All,schools_with_electricity,42740,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Jharkhand,2022-23,All,schools_with_functional_electricity,41460,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Karnataka,2022-23,All,schools_with_electricity,75427,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Karnataka,2022-23,All,schools_with_functional_electricity,75092,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Kerala,2022-23,All,schools_with_electricity,15919,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Kerala,2022-23,All,schools_with_functional_electricity,15914,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Ladakh,2022-23,All,schools_with_electricity,804,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Ladakh,2022-23,All,schools_with_functional_electricity,779,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Lakshadweep,2022-23,All,schools_with_electricity,37,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Lakshadweep,2022-23,All,schools_with_functional_electricity,37,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Madhya Pradesh,2022-23,All,schools_with_electricity,110628,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Madhya Pradesh,2022-23,All,schools_with_functional_electricity,105360,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Maharashtra,2022-23,All,schools_with_electricity,103110,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Maharashtra,2022-23,All,schools_with_functional_electricity,94428,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Manipur,2022-23,All,schools_with_electricity,3122,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Manipur,2022-23,All,schools_with_functional_electricity,2823,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Meghalaya,2022-23,All,schools_with_electricity,4048,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Meghalaya,2022-23,All,schools_with_functional_electricity,3741,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Mizoram,2022-23,All,schools_with_electricity,3427,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Mizoram,2022-23,All,schools_with_functional_electricity,3225,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Nagaland,2022-23,All,schools_with_electricity,2129,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Nagaland,2022-23,All,schools_with_functional_electricity,1895,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Odisha,2022-23,All,schools_with_electricity,57570,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Odisha,2022-23,All,schools_with_functional_electricity,56880,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Puducherry,2022-23,All,schools_with_electricity,729,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Puducherry,2022-23,All,schools_with_functional_electricity,729,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Punjab,2022-23,All,schools_with_electricity,27577,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Punjab,2022-23,All,schools_with_functional_electricity,27561,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Rajasthan,2022-23,All,schools_with_electricity,97411,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Rajasthan,2022-23,All,schools_with_functional_electricity,96016,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Sikkim,2022-23,All,schools_with_electricity,1239,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Sikkim,2022-23,All,schools_with_functional_electricity,1228,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Tamil Nadu,2022-23,All,schools_with_electricity,58150,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Tamil Nadu,2022-23,All,schools_with_functional_electricity,58150,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Telangana,2022-23,All,schools_with_electricity,40498,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Telangana,2022-23,All,schools_with_functional_electricity,39293,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Tripura,2022-23,All,schools_with_electricity,3098,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Tripura,2022-23,All,schools_with_functional_electricity,2967,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Uttar Pradesh,2022-23,All,schools_with_electricity,214251,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Uttar Pradesh,2022-23,All,schools_with_functional_electricity,209611,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Uttarakhand,2022-23,All,schools_with_electricity,20853,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
Uttarakhand,2022-23,All,schools_with_functional_electricity,20337,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
West Bengal,2022-23,All,schools_with_electricity,92167,count,UDISE_2022-2023.pdf,108,Schools with electricity facility,"Table 7.1 col (7), All management"
West Bengal,2022-23,All,schools_with_functional_electricity,91154,count,UDISE_2022-2023.pdf,108,Schools with functional electricity facility,"Table 7.1 col (12), All management"
India,2022-23,All,schools_with_electricity,91.7,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
India,2022-23,All,schools_with_functional_electricity,89.5,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Andaman & Nicobar Islands,2022-23,All,schools_with_electricity,92.5,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Andaman & Nicobar Islands,2022-23,All,schools_with_functional_electricity,91.3,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Andhra Pradesh,2022-23,All,schools_with_electricity,99.7,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Andhra Pradesh,2022-23,All,schools_with_functional_electricity,99.6,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Arunachal Pradesh,2022-23,All,schools_with_electricity,68.5,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Arunachal Pradesh,2022-23,All,schools_with_functional_electricity,55.9,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Assam,2022-23,All,schools_with_electricity,85.4,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Assam,2022-23,All,schools_with_functional_electricity,84.6,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Bihar,2022-23,All,schools_with_electricity,83.9,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Bihar,2022-23,All,schools_with_functional_electricity,82.1,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Chandigarh,2022-23,All,schools_with_electricity,100,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Chandigarh,2022-23,All,schools_with_functional_electricity,100,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Chhattisgarh,2022-23,All,schools_with_electricity,95.6,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Chhattisgarh,2022-23,All,schools_with_functional_electricity,91.8,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Dadra & Nagar Haveli and Daman & Diu,2022-23,All,schools_with_electricity,100,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Dadra & Nagar Haveli and Daman & Diu,2022-23,All,schools_with_functional_electricity,100,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Delhi,2022-23,All,schools_with_electricity,100,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Delhi,2022-23,All,schools_with_functional_electricity,100,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Goa,2022-23,All,schools_with_electricity,100,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Goa,2022-23,All,schools_with_functional_electricity,100,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Gujarat,2022-23,All,schools_with_electricity,99.9,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Gujarat,2022-23,All,schools_with_functional_electricity,99.9,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Haryana,2022-23,All,schools_with_electricity,99.3,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Haryana,2022-23,All,schools_with_functional_electricity,98.4,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Himachal Pradesh,2022-23,All,schools_with_electricity,98.3,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Himachal Pradesh,2022-23,All,schools_with_functional_electricity,97.4,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Jammu & Kashmir,2022-23,All,schools_with_electricity,91.9,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Jammu & Kashmir,2022-23,All,schools_with_functional_electricity,87.4,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Jharkhand,2022-23,All,schools_with_electricity,95.8,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Jharkhand,2022-23,All,schools_with_functional_electricity,93,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Karnataka,2022-23,All,schools_with_electricity,99.1,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Karnataka,2022-23,All,schools_with_functional_electricity,98.7,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Kerala,2022-23,All,schools_with_electricity,99.9,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Kerala,2022-23,All,schools_with_functional_electricity,99.9,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Ladakh,2022-23,All,schools_with_electricity,82.1,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Ladakh,2022-23,All,schools_with_functional_electricity,79.6,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Lakshadweep,2022-23,All,schools_with_electricity,100,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Lakshadweep,2022-23,All,schools_with_functional_electricity,100,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Madhya Pradesh,2022-23,All,schools_with_electricity,90,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Madhya Pradesh,2022-23,All,schools_with_functional_electricity,85.7,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Maharashtra,2022-23,All,schools_with_electricity,95.1,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Maharashtra,2022-23,All,schools_with_functional_electricity,87.1,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Manipur,2022-23,All,schools_with_electricity,67.5,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Manipur,2022-23,All,schools_with_functional_electricity,61,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Meghalaya,2022-23,All,schools_with_electricity,27.7,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Meghalaya,2022-23,All,schools_with_functional_electricity,25.6,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Mizoram,2022-23,All,schools_with_electricity,88.1,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Mizoram,2022-23,All,schools_with_functional_electricity,82.9,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Nagaland,2022-23,All,schools_with_electricity,78.4,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Nagaland,2022-23,All,schools_with_functional_electricity,69.7,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Odisha,2022-23,All,schools_with_electricity,93,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Odisha,2022-23,All,schools_with_functional_electricity,91.9,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Puducherry,2022-23,All,schools_with_electricity,100,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Puducherry,2022-23,All,schools_with_functional_electricity,100,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Punjab,2022-23,All,schools_with_electricity,99.9,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Punjab,2022-23,All,schools_with_functional_electricity,99.9,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Rajasthan,2022-23,All,schools_with_electricity,91.3,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Rajasthan,2022-23,All,schools_with_functional_electricity,90,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Sikkim,2022-23,All,schools_with_electricity,99.1,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Sikkim,2022-23,All,schools_with_functional_electricity,98.2,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Tamil Nadu,2022-23,All,schools_with_electricity,100,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Tamil Nadu,2022-23,All,schools_with_functional_electricity,100,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Telangana,2022-23,All,schools_with_electricity,95.3,percent,UDISE_2022-2023.pdf,109,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
